ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
11890983,8,26,Yes,Male,Male,0,0,1,0,0,0,"science, technology, engineering and mathematics",90016,90016,90016,"More than $78,000",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
11890987,5,35,Yes,Female,Female,0,0,1,0,0,0,Music Producer,21219,7052,21219,"$25,001-$40,499",10,Married,Some college,Associate's degree (2 years of college),"Less than $12,500",Single,0,,,
11890989,3,24,Yes,Female,Female,0,0,1,0,0,0,Package Handler,75235,75044,75252,Don't know,4,Never married,__other,Some college,"Less than $12,500",Single,1,,Don't know,
11890990,2,41,Yes,Female,Female,0,0,0,0,0,1,office manager,21222,21222,21093,"Less than $25,000",2,Never married,Some college,Some college,"More than $80,000",Married,3,,,
11890991,6,64,Yes,Female,Female,0,0,0,0,0,1,Retired,48040,48040,85742,"Less than $25,000",2,Never married,Some college,Associate's degree (2 years of college),"$12,501-$22,499",Divorced,3,,,
11890992,5,36,Yes,Male,Male,0,0,0,0,0,1,Unemployed,34476,34476,34476,"More than $78,000",4,Divorced,Associate's degree (2 years of college),Master's degree,"$22,500-$42,999",Single,0,,,
11890995,4,39,Yes,Male,Male,0,0,0,0,0,1,Clerk,43608,43608,43130,"$25,001-$40,499",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
11890997,1,19,Yes,Male,Male,0,0,1,0,0,0,Student ,32776,32776,37315,"$45,500-$55,999",4,Married,Doctoral degree,Some college,"Less than $12,500",Single,0,,,
11890999,10,23,Yes,Male,Male,0,0,0,0,0,1,Security Analyst,48727,48727,48727,"More than $78,000",6,Married,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
11891000,7,29,Yes,Male,Male,0,0,1,0,0,0,prolific,64138,64138,64138,"$45,500-$55,999",4,Never married,Some college,Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
11891002,7,31,Yes,Female,Female,0,0,1,0,0,0,Receptionist,79904,29207,29223,"$56,000-$78,000",4,Divorced and remarried (one),Bachelor's degree (4 years of college),Some college,"$22,500-$42,999",Single,0,,,
11891004,1,22,Yes,Female,Female,0,0,1,0,0,0,Student,20740,20740,20740,"Less than $25,000",6,Divorced,Highschool degree,Some college,"Less than $12,500",Single,0,,,
11891007,7,48,Yes,Female,Female,0,0,1,0,0,0,Budget Analyst,30331,30331,30331,Don't know,5,Married,Master's degree,Master's degree,"More than $80,000",Divorced,1,,,
11891008,11,47,Yes,Male,Male,0,0,0,0,0,1,Product Manager,4011,4011,78636,Don't know,6,Divorced,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
11891011,5,29,Yes,Male,Male,0,0,0,0,0,1,Physical Therapist,38821,38821,38111,"More than $78,000",4,Widowed,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Married,0,,,
11891018,5,28,Yes,Female,Female,0,0,0,0,0,1,1099 Contractor,48654,49841,49441,"Less than $25,000",2,__other,Some college,__other,"$22,500-$42,999",Single,2,deceased,,Currently have B.S. and obtaining dual masters in clinical mental health counseling and school counseling.
11891020,7,40,Yes,Male,Male,0,0,0,0,0,1,retail,44052,44052,44052,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Divorced,1,,,
11891024,7,40,Yes,Male,Male,0,0,0,0,0,1,Database Administrator,62501,62501,32579,"$45,500-$55,999",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
11891025,1,27,Yes,Female,Female,0,0,1,0,0,0,teacher's assistant,80916,80916,80916,Don't know,5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11891028,7,64,Yes,Female,Female,0,0,1,0,0,0,programmer,841,841,23453,"Less than $25,000",9,Widowed,Highschool degree,Master's degree,"More than $80,000",Single,1,,,
11891030,2,48,Yes,Female,Female,0,0,1,0,0,0,Administratvie Assistant,71229,71229,71228,"$25,001-$40,499",4,Divorced and remarried (one),Highschool degree,Associate's degree (2 years of college),"$22,500-$42,999",Divorced,2,,,
11891034,0,31,Yes,Male,Male,0,0,1,0,0,0,Financial Advisor,32209,32209,32210,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
11891038,9,53,Yes,Male,Male,0,0,1,0,0,0,IT Systems Administrator,30296,30303,30092,"Less than $25,000",5,Divorced and remarried (one),Highschool degree,Some college,"More than $80,000",Married,0,,,
11891039,8,27,Yes,Male,Male,0,0,1,0,0,0,wqaiter,10005,10001,10001,"$45,500-$55,999",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
11891047,6,49,Yes,Female,Female,0,0,1,0,0,0,Content Writer,76301,20855,44240,"Less than $25,000",5,Never married,Some college,Associate's degree (2 years of college),"Less than $12,500",Divorced,2,,,
11891060,0,31,Yes,Male,Male,0,0,1,0,0,0,Procurement,30066,30066,30066,Don't know,5,Married,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11891079,2,51,Yes,Female,Female,0,0,1,0,0,0,Small Business Owner,7112,7113,7112,Don't know,6,Never married,Highschool degree,Some college,"$42,500-$80,000",Married,6,,,
11891080,4,20,Yes,Female,Female,0,0,1,0,0,0,Teacher,30349,30349,29063,"$45,500-$55,999",3,Never married,Master's degree,Highschool degree,"Less than $12,500",Single,0,,,
11891082,1,30,Yes,Male,Male,0,0,1,0,0,0,Analyst,7461,7461,10116,"More than $78,000",6,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
11891086,1,21,Yes,Male,Male,0,0,1,0,0,0,Painter ,48222,48222,48222,"$56,000-$78,000",4,Married,Master's degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
11891094,7,28,Yes,Male,Male,0,0,1,0,0,0,Administrative officer,75270,75270,75270,"$25,001-$40,499",5,Married,Associate's degree (2 years of college),Master's degree,"$12,501-$22,499",Single,0,,,
11891100,6,28,Yes,Female,Female,0,0,1,0,0,0,Manufacuring,65101,65101,65101,"Less than $25,000",3,Never married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
11891110,8,35,Yes,Male,Male,0,0,1,0,0,0,media and entertainment ,60018,60130,60600,Don't know,2,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
11891115,8,24,Yes,Male,Male,0,0,1,0,0,0,Information technology,78249,78249,78109,"$45,500-$55,999",5,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
11891127,4,25,Yes,Female,Female,0,0,0,0,0,1,Financial Analyst ,8053,8053,30076,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
