ParticipantID,comf_community,comf_firefighter,comf_gun,comf_healthcare,comf_immigration,comf_media,comf_police,comf_religion,comf_science,comf_voting
11890279,5,5,1,5,2,1,3,2,7,3
11890282,3,7,5,7,6,6,6,3,7,7
11890284,5,7,3,7,5,1,7,1,7,7
11890285,7,7,7,7,7,7,7,7,7,7
11890286,6,7,6,6,2,2,6,2,6,6
11890287,7,7,7,7,7,7,7,7,7,7
11890289,5,5,1,7,3,5,5,6,7,6
11890292,6,7,4,4,4,1,1,1,6,1
11890295,5,7,1,3,5,3,5,1,7,3
11890298,3,4,4,4,3,4,4,3,4,6
11890299,5,5,4,3,5,1,2,6,5,3
11890300,5,5,4,5,4,4,5,5,4,4
11890302,6,6,7,6,6,2,5,5,6,6
11890303,7,7,1,7,6,1,1,6,7,7
11890306,7,7,7,7,7,7,7,7,7,7
11890308,7,7,1,7,1,7,1,1,7,1
11890310,6,7,1,7,5,7,7,5,6,7
11890311,7,7,7,6,7,7,7,6,6,7
11890312,6,6,7,7,3,6,7,7,7,6
11890313,5,7,3,6,5,6,5,3,4,5
11890314,7,7,6,7,7,7,7,7,7,7
11890319,5,6,3,6,5,3,2,1,7,5
11890320,6,7,4,6,5,5,4,6,6,5
11890323,6,7,2,6,5,6,3,6,6,5
11890324,5,6,6,5,6,6,5,5,5,6
11890327,5,7,2,6,5,3,7,5,3,2
11890328,6,5,6,6,7,6,6,6,5,5
11890329,5,7,5,7,5,3,7,6,7,7
11890330,5,5,1,6,5,2,1,1,6,3
11890331,3,7,3,7,3,3,3,2,7,6
11890334,6,6,7,7,5,7,5,5,7,7
11890337,5,6,3,7,5,7,5,7,6,6
11890339,6,6,3,6,5,6,5,6,5,5
11890342,6,7,5,6,7,5,5,6,7,7
11890346,6,6,7,6,7,5,7,6,7,7
11890351,5,6,5,5,5,3,4,2,5,6
11890354,5,6,4,6,4,5,5,3,5,5
11890357,3,5,4,7,5,4,6,5,6,5
11890358,5,6,6,6,6,6,7,7,6,6
11890361,6,6,5,7,5,5,6,7,7,6
11890363,6,7,2,7,5,6,5,5,6,6
11890365,5,5,4,5,4,4,5,6,5,5
11890366,7,7,1,7,7,7,1,7,7,7
11890367,6,5,6,4,3,5,7,5,7,5
11890368,6,6,5,6,6,6,6,6,6,6
11890369,5,6,6,5,6,6,6,6,7,6
11890371,2,2,2,2,2,2,1,0,2,2
11890374,5,7,3,7,5,7,6,7,5,7
11890376,6,6,2,6,5,6,6,7,3,6
11890378,3,6,2,7,6,7,6,6,7,7
11890379,7,7,1,7,5,1,7,1,7,1
11890380,7,7,7,7,7,7,7,7,7,7
11890382,5,6,7,6,6,6,6,7,6,6
11890385,4,7,5,2,3,3,4,4,3,3
11890389,6,6,4,7,4,5,6,7,7,6
11890390,5,5,5,5,5,5,5,5,5,5
11890391,7,7,5,7,6,5,7,6,6,6
11890393,5,7,5,7,5,2,1,1,7,7
11890394,5,6,1,3,3,1,1,5,6,7
11890395,7,7,3,3,4,2,3,7,7,7
11890396,5,6,2,6,3,6,6,6,6,6
11890398,7,7,4,6,3,1,4,7,4,6
11890400,7,6,7,7,6,7,6,7,7,7
11890402,4,4,3,7,5,3,3,5,6,6
11890406,3,5,5,6,2,1,6,3,7,2
11890407,5,6,1,5,5,6,6,7,3,6
11890409,7,7,3,7,2,3,7,7,7,3
11890413,4,4,4,5,4,4,4,5,5,4
11890415,7,7,7,7,7,7,7,7,7,7
11890416,7,7,7,7,7,7,7,7,7,7
11890417,5,6,6,6,6,6,6,6,6,6
11890418,7,7,7,7,7,7,7,7,7,7
11890422,3,6,1,7,3,2,6,6,7,6
11890423,5,7,4,7,6,7,7,7,6,6
11890427,7,7,6,7,7,4,6,3,7,7
11890428,3,7,7,7,7,7,7,7,7,7
11890430,5,3,3,5,6,5,5,5,3,5
11890432,7,7,7,7,7,7,7,7,7,7
11890433,7,7,7,7,7,7,7,7,7,7
11890437,6,5,3,7,3,5,6,5,6,6
11890440,7,6,6,6,6,6,6,6,6,6
11890453,6,4,6,6,5,4,2,6,5,6
11890454,6,7,6,1,2,4,7,2,6,5
11890457,3,6,6,2,5,4,5,2,4,5
11890460,7,7,7,7,7,7,7,7,7,7
11890468,7,7,4,6,6,6,7,7,6,6
11890470,5,5,3,3,4,6,3,2,5,6
11890472,7,7,7,7,7,7,7,7,7,7
11890473,4,7,2,1,5,4,6,2,6,3
11890475,5,6,1,3,6,3,2,2,6,5
11890477,7,7,2,6,5,3,7,5,6,7
11890478,7,7,5,5,4,1,6,1,7,7
11890481,8,8,8,8,8,8,8,7,8,8
11890482,7,7,7,7,7,7,7,7,7,7
11890484,4,7,6,6,3,3,3,6,7,6
11890490,4,6,1,6,4,2,1,1,6,2
11890492,6,5,4,6,5,6,6,6,5,6
11890493,6,6,6,6,6,6,6,6,6,6
11890495,6,6,6,6,5,6,6,5,5,6
11890496,7,7,4,4,4,4,7,7,7,4
11890497,2,7,5,7,4,4,5,6,7,5
11890499,7,7,7,7,6,7,7,7,7,7
11890500,5,7,3,5,5,1,2,5,6,1
11890501,5,7,3,6,3,3,3,2,7,6
11890502,6,7,4,7,4,7,5,7,7,7
11890510,7,7,7,7,7,7,7,7,7,7
11890511,2,6,4,5,3,3,5,3,5,5
11890515,6,5,5,5,5,5,5,5,5,5
11890518,6,6,5,6,5,6,6,6,5,6
11890519,5,3,3,3,5,5,5,5,5,5
11890520,5,5,3,6,4,2,3,7,7,6
11890522,7,7,7,7,7,7,7,5,7,7
11890523,3,6,3,5,3,6,5,6,3,5
11890524,2,7,3,2,7,1,2,1,7,1
11890529,6,7,3,7,5,7,6,7,6,7
11890536,7,7,1,7,7,1,1,4,7,4
11890539,5,6,5,6,7,6,6,3,6,7
11890540,1,7,1,7,1,1,7,1,7,7
11890541,6,7,1,5,1,1,1,2,6,5
11890545,7,7,7,7,7,7,7,7,7,7
11890548,5,7,5,7,2,6,7,7,2,7
11890549,7,7,1,7,1,4,7,4,7,7
11890552,3,7,1,7,1,7,7,7,7,7
11890553,7,4,4,5,5,6,5,5,6,7
11890557,5,6,5,7,6,7,5,3,7,7
11890558,3,6,5,3,3,5,6,3,5,3
11890565,5,7,5,6,5,2,3,6,7,7
11890567,5,6,2,5,5,2,2,5,6,6
11890573,5,5,2,3,2,3,3,2,5,3
11890575,6,7,4,5,5,2,4,5,7,7
11890576,7,7,3,3,5,3,5,2,7,7
11890577,7,7,6,6,2,2,7,6,7,7
11890578,4,5,5,3,1,3,4,2,5,4
11890579,5,5,1,3,2,1,5,1,6,6
11890581,7,7,5,7,6,7,5,6,7,6
11890586,5,6,3,6,3,6,6,6,5,7
11890587,5,3,6,5,5,3,5,5,5,5
11890591,5,7,7,6,7,5,7,7,7,5
11890594,3,7,7,5,2,2,7,7,5,6
11890598,7,7,7,7,7,7,7,7,7,7
11890601,6,6,6,5,6,5,5,5,6,6
11890602,3,3,5,5,5,5,6,5,6,4
11890607,3,5,3,5,5,5,5,5,3,4
11890609,5,6,5,6,6,5,6,6,5,5
11890612,7,7,7,7,7,7,7,7,7,7
11890617,5,6,2,6,3,6,6,6,6,6
11890618,3,5,3,5,6,3,2,2,6,5
11890619,5,5,5,5,5,3,6,6,6,3
11890620,4,6,2,6,5,2,2,5,6,7
11890635,3,5,5,6,3,5,3,5,6,6
11890641,4,7,7,7,7,7,7,7,7,7
11890646,3,7,6,7,6,3,5,7,7,7
11890647,5,7,7,7,3,3,4,7,7,3
11890651,6,5,6,2,3,6,3,6,6,5
11890652,4,5,3,7,2,3,3,6,6,6
11890655,7,7,5,7,3,5,7,7,6,7
11890656,6,5,3,4,3,2,4,5,5,6
11890659,7,7,5,7,7,7,7,7,7,7
11890660,5,5,3,6,7,6,5,6,6,7
11890668,7,7,5,6,4,5,4,2,7,7
11890669,5,2,2,5,5,5,3,5,5,5
11890670,7,7,7,7,5,4,7,7,7,5
11890672,7,7,7,7,7,4,7,7,7,7
11890673,6,5,7,7,6,5,6,7,6,7
11890674,7,7,7,7,7,7,7,7,7,7
11890675,7,7,7,8,7,7,7,7,7,7
11890678,6,7,6,7,7,2,7,6,7,7
11890685,7,7,3,7,7,7,7,7,7,7
11890687,7,7,6,7,1,7,7,7,1,7
11890690,5,7,6,6,4,6,5,5,6,6
11890691,6,7,6,7,5,5,6,6,7,7
11890694,7,6,3,6,3,6,5,6,6,7
11890696,7,7,7,7,7,7,2,7,7,7
11890697,6,6,5,6,5,5,5,3,7,6
11890698,5,6,6,6,6,5,6,6,6,6
11890699,7,7,6,7,7,4,5,6,5,6
11890700,6,7,6,6,6,5,6,7,7,6
11890701,7,7,7,7,7,2,7,7,7,3
11890705,7,7,7,7,7,7,7,7,7,7
11890706,6,7,6,6,7,5,6,3,3,6
11890707,4,7,6,7,7,5,5,2,7,7
11890709,7,7,7,7,7,7,7,7,7,7
11890720,7,7,5,5,5,5,5,5,7,7
11890724,6,7,7,5,5,7,5,7,5,7
11890730,4,6,6,6,4,4,6,2,6,4
11890731,6,7,3,6,5,1,5,6,7,7
11890732,5,5,5,5,5,3,5,5,6,5
11890734,7,7,7,7,7,7,7,7,7,7
11890740,4,6,5,7,6,4,4,7,7,7
11890741,6,7,7,5,6,7,5,5,7,7
11890744,5,2,3,6,5,5,5,5,6,5
11890745,4,5,6,7,7,5,6,5,6,6
11890749,1,5,7,7,7,7,7,7,7,7
11890750,7,7,7,7,7,7,7,7,7,7
11890753,7,5,5,6,5,6,6,6,6,6
11890757,7,7,5,7,7,7,7,7,6,5
