,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
149,11890240,2,45,Yes,Female,Female,0,0,0,0,0,1,homemaker,38652,38652,38652,"$56,000-$78,000",2,Divorced,Highschool degree,Associate's degree (2 years of college),"$42,500-$80,000",Married,2,,,
151,11890243,10,50,Yes,Male,Male,0,0,0,0,0,1,Auto auction lot porter ,65351,65802,66212,"$25,001-$40,499",3,Divorced,Associate's degree (2 years of college),Highschool degree,"$22,500-$42,999",Single,0,,,
152,11890244,2,45,Yes,Female,Female,0,0,0,0,0,1,Customs Broker,5491,5491,13630,"More than $78,000",5,Married,Associate's degree (2 years of college),Some college,"$42,500-$80,000",Divorced,1,,,
153,11890245,11,46,Yes,Female,Female,0,0,0,0,0,1,Customer Service Rep ,48136,54901,49504,"$45,500-$55,999",5,Divorced,Highschool degree,Highschool degree,"$42,500-$80,000",Married,7,,,
155,11890249,5,41,Yes,Male,Male,0,0,0,0,0,1,Insurance Broker,39042,39042,39047,Don't know,4,Married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
156,11890251,10,33,Yes,Male,Male,0,0,0,0,0,1,Advisor,8610,8610,60618,"More than $78,000",4,Married,Master's degree,Master's degree,"More than $80,000",Married,0,,,
157,11890253,11,46,Yes,Female,Female,0,0,0,0,0,1,graphic designer,29646,29649,29607,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
159,11890255,11,21,Yes,Male,Male,0,0,0,0,0,1,IT assistant,7501,34491,34491,"$25,001-$40,499",3,Married,Master's degree,Associate's degree (2 years of college),"$22,500-$42,999",Single,0,,,
160,11890256,8,48,Yes,Male,Male,0,0,0,0,0,1,real estate,23464,23464,23435,"Less than $25,000",4,Married,Master's degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,0,,,
162,11890259,3,32,Yes,Female,Female,0,0,0,0,0,1,customer service,43235,43235,15102,"More than $78,000",6,Divorced and remarried (one),Doctoral degree,Highschool degree,"$42,500-$80,000",Married,2,,,
164,11890261,1,33,Yes,Male,Male,0,0,0,0,0,1,Self Employed,76051,76034,76106,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
165,11890262,0,32,Yes,Female,Female,0,0,0,0,0,1,real estate agent,2445,2445,60640,Don't know,3,Divorced and remarried (one),Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
166,11890265,6,58,Yes,Male,Male,0,0,0,0,0,1,Writer,62016,62025,53208,"$25,001-$40,499",5,Widowed,Some college,Master's degree,"$22,500-$42,999",Divorced,0,,,
167,11890269,2,35,Yes,Male,Male,0,0,0,0,0,1,Software Developer,11103,11103,11103,"$25,001-$40,499",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
168,11890271,8,32,Yes,Female,Female,0,0,0,0,0,1,Freelnace,70811,70811,70811,"$45,500-$55,999",10,Divorced,Some college,Highschool degree,"Less than $12,500",Single,0,,,
169,11890272,11,70,Yes,Female,Female,0,0,0,0,0,1,retired,46614,46614,71118,"$25,001-$40,499",5,__other,Highschool degree,Some college,"$22,500-$42,999",Widowed,2,deceased,,
