,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
368,11890750,9,72,Yes,Female,Female,0,0,0,0,0,1,Retired legal assistant,41760,41760,41074,"$56,000-$78,000",4,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Divorced,2,,,
369,11890753,6,30,Yes,Female,Female,0,0,0,0,0,1,Management,95124,95124,95124,"$56,000-$78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
374,11890767,2,35,Yes,Female,Female,0,0,1,0,0,0,Freelance,30905,31707,31730,"$25,001-$40,499",3,Divorced,Associate's degree (2 years of college),Some college,"Less than $12,500",Single,0,,,
376,11890770,1,32,Yes,Male,Male,0,0,1,0,0,0,Software Engineer,30301,30301,30303,"More than $78,000",4,Married,Doctoral degree,Doctoral degree,"$42,500-$80,000",Married,2,,,
377,11890775,9,24,Yes,Male,Male,0,0,1,0,0,0,sales and retail,10003,10003,30003,"$56,000-$78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
379,11890784,11,72,Yes,Male,Male,0,0,1,0,0,0,Retired,42240,42240,37042,"Less than $25,000",6,__other,Highschool degree,Some college,"$12,501-$22,499",Divorced,0,Deceased,,
380,11890789,6,45,Yes,Female,Female,0,0,1,0,0,0,certified nursing assistant,27587,19144,27587,"$25,001-$40,499",6,Never married,Highschool degree,Highschool degree,"$22,500-$42,999",Single,0,,,
381,11890797,4,28,Yes,Female,Female,0,0,1,0,0,0,Business Management and Administration,10118,10118,10118,"$56,000-$78,000",6,Married,Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Married,1,,,
382,11890801,11,31,Yes,Male,Male,0,0,0,0,0,1,IT,33871,33871,33871,"$25,001-$40,499",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
383,11890804,10,34,Yes,Female,Female,0,0,0,0,0,1,Software Engineer,77480,77480,77480,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
384,11890805,6,50,Yes,Female,Female,0,0,1,0,0,0,clerk,48203,48203,45454,"Less than $25,000",8,Never married,Associate's degree (2 years of college),Highschool degree,"$22,500-$42,999",Single,0,,,
386,11890811,0,24,Yes,Male,Male,0,0,0,0,0,1,Sales Representative,19533,19533,19533,"$45,500-$55,999",4,Divorced,Highschool degree,Highschool degree,"$42,500-$80,000",Single,0,,,
387,11890812,9,33,Yes,Female,Female,0,0,1,0,0,0,Insurance Agent,63107,63107,63390,"$25,001-$40,499",4,Never married,Some college,Some college,"$22,500-$42,999",Single,2,,,
388,11890814,0,26,Yes,Male,Male,0,0,1,0,0,0,Self-employed,77033,77033,77033,"Less than $25,000",4,Never married,Highschool degree,Highschool degree,"$12,501-$22,499",Single,0,,,
389,11890820,1,23,Yes,Female,Male,0,0,1,0,0,0,mnager,30002,30002,30002,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
390,11890821,0,24,Yes,Male,Male,0,0,1,0,0,0,mamager ,30002,30002,30002,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
391,11890837,4,55,Yes,Female,Female,0,0,1,0,0,0,Daytrader,49017,49017,49014,"More than $78,000",4,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
392,11890844,10,65,Yes,Female,Female,0,0,0,0,0,1,Retired,29483,29483,29483,"$25,001-$40,499",5,Divorced,Highschool degree,Some college,"$22,500-$42,999",Single,0,,,
393,11890848,11,69,Yes,Male,Male,0,0,0,0,0,1,retired,48206,47362,60612,"Less than $25,000",5,Widowed,Associate's degree (2 years of college),Associate's degree (2 years of college),"$22,500-$42,999",Divorced,2,,,
394,11890850,7,36,Yes,Female,Female,0,0,0,0,0,1,insurance sales,77505,77571,77571,"$45,500-$55,999",5,Married,Highschool degree,Highschool degree,"$22,500-$42,999",Married,2,,,
396,11890855,4,33,Yes,Female,Female,0,0,0,0,0,1,homemaker,43812,43812,34471,"$25,001-$40,499",10,Divorced,Highschool degree,Highschool degree,"$42,500-$80,000",Single,3,,,
397,11890857,8,26,Yes,Male,Male,0,0,0,0,0,1,finance,90016,90016,90016,"More than $78,000",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
398,11890858,2,41,Yes,Male,Male,0,0,0,0,0,1,Banker,52033,52033,52241,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
399,11890861,7,33,Yes,Male,Male,0,0,0,0,0,1,IT Specialist,85225,85225,85301,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
400,11890864,1,27,Yes,Male,Male,0,0,1,0,0,0,retail,33101,89101,89117,"More than $78,000",8,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
401,11890865,10,33,Yes,Male,Male,0,0,0,0,0,1,Engineer,19718,19713,19701,"$56,000-$78,000",5,Widowed,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
402,11890868,6,29,Yes,Male,Male,0,0,0,0,0,1,Software Engineer,89156,89156,89156,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
403,11890869,7,41,Yes,Male,Male,0,0,1,0,0,0,Customer service rep,45202,45202,45202,"More than $78,000",4,Never married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$22,500-$42,999",Single,0,,,
404,11890870,2,30,Yes,Male,Male,0,0,1,0,0,0,Human Services Manager ,90807,90621,91773,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Married,3,,,
405,11890874,1,32,Yes,Female,Female,0,0,0,0,0,1,data analyst,19090,19090,22150,"More than $78,000",4,Widowed,Master's degree,Doctoral degree,"More than $80,000",Married,0,,,
407,11890879,9,32,Yes,Female,Female,0,0,0,0,0,1,homemaker,18940,18940,15237,"More than $78,000",6,Married,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
408,11890883,4,26,Yes,Male,Male,0,0,1,0,0,0,95111,95111,95111,95111,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
409,11890887,5,40,Yes,Female,Female,0,0,0,0,0,1,stay at home parent,35670,35670,35754,"$25,001-$40,499",3,Married,Highschool degree,Associate's degree (2 years of college),"Less than $12,500",Married,1,,,
410,11890892,8,42,Yes,Female,Female,0,0,1,0,0,0,technology manager,63034,63034,30082,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
411,11890898,4,23,Yes,Female,Female,0,0,0,0,0,1,,37601,24641,24266,"$25,001-$40,499",2,Never married,Master's degree,Highschool degree,"$22,500-$42,999",Single,1,,,
412,11890900,3,47,Yes,Female,Female,0,0,1,0,0,0,mentsl healthcare worker,7018,7018,27403,Don't know,8,__other,Some highschool,Associate's degree (2 years of college),"$22,500-$42,999",Married,2,deceased,,
413,11890902,4,30,Yes,Female,Female,0,0,0,0,0,1,Concierge,33596,33596,33596,"$45,500-$55,999",4,Divorced and remarried (one),Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
415,11890907,1,51,Yes,Female,Female,0,0,1,0,0,0,Chef I,31719,31719,33612,"Less than $25,000",7,Never married,Some highschool,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
416,11890909,5,49,Yes,Female,Female,0,0,1,0,0,0,Data Associate,85746,85710,77493,"$45,500-$55,999",9,__other,Associate's degree (2 years of college),Associate's degree (2 years of college),"More than $80,000",Married,3,deceased,,
417,11890910,11,29,Yes,Female,Female,0,0,0,0,0,1,IT,23601,23601,23601,"$45,500-$55,999",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
419,11890919,2,22,Yes,Female,Female,0,0,0,0,0,1,doctor,19004,19004,19004,"$45,500-$55,999",9,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,2,,,
420,11890920,7,19,Yes,Female,Female,0,0,0,0,0,1,Student,15237,15237,16066,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
422,11890923,9,32,Yes,Male,Male,0,0,1,0,0,0,Sales Rep,70131,70131,70131,"$25,001-$40,499",6,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
429,11890942,10,29,Yes,Male,Male,0,0,1,0,0,0,Warehouse manager,44024,44024,44483,"More than $78,000",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
432,11890945,6,37,Yes,Male,Male,0,0,0,0,0,1,Data Aquisition,60060,60060,47150,"$25,001-$40,499",6,Never married,Doctoral degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
433,11890946,9,30,Yes,Male,Male,0,0,0,0,0,1,Web Developer,95823,90250,6602,"$45,500-$55,999",5,Divorced and remarried (one),Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
434,11890956,5,43,Yes,Female,Female,0,0,1,0,0,0,CNA,49508,49507,49512,Don't know,8,Never married,Some college,Some college,"$42,500-$80,000",Single,2,,,
435,11890959,3,40,Yes,Female,Female,0,0,0,0,0,1,internet safety evaluator,10705,10705,49120,"$25,001-$40,499",3,Married,Highschool degree,Highschool degree,"$22,500-$42,999",Married,0,,,
436,11890960,0,45,Yes,Female,Female,0,0,0,0,0,1,Land Use Planner,53092,53092,96150,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
438,11890965,5,18,Yes,Female,Female,0,0,0,0,0,1,student,46032,46032,46032,"$45,500-$55,999",5,Divorced,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
439,11890966,9,26,Yes,Male,Male,0,0,1,0,0,0,Manager,30301,30301,30301,Don't know,4,Married,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
440,11890967,0,27,Yes,Male,Male,0,0,1,0,0,0,Assistant,33101,33101,33101,Don't know,5,Married,Some college,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
442,11890971,8,26,Yes,Male,Male,0,0,0,0,0,1,legal,33146,33146,33146,"More than $78,000",6,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
443,11890978,8,26,Yes,Male,Male,0,0,1,0,0,0,education and training,75134,75134,75134,"More than $78,000",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
444,11890983,8,26,Yes,Male,Male,0,0,1,0,0,0,"science, technology, engineering and mathematics",90016,90016,90016,"More than $78,000",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,2,,,
445,11890987,5,35,Yes,Female,Female,0,0,1,0,0,0,Music Producer,21219,7052,21219,"$25,001-$40,499",10,Married,Some college,Associate's degree (2 years of college),"Less than $12,500",Single,0,,,
447,11890990,2,41,Yes,Female,Female,0,0,0,0,0,1,office manager,21222,21222,21093,"Less than $25,000",2,Never married,Some college,Some college,"More than $80,000",Married,3,,,
448,11890991,6,64,Yes,Female,Female,0,0,0,0,0,1,Retired,48040,48040,85742,"Less than $25,000",2,Never married,Some college,Associate's degree (2 years of college),"$12,501-$22,499",Divorced,3,,,
449,11890992,5,36,Yes,Male,Male,0,0,0,0,0,1,Unemployed,34476,34476,34476,"More than $78,000",4,Divorced,Associate's degree (2 years of college),Master's degree,"$22,500-$42,999",Single,0,,,
450,11890995,4,39,Yes,Male,Male,0,0,0,0,0,1,Clerk,43608,43608,43130,"$25,001-$40,499",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
451,11890997,1,19,Yes,Male,Male,0,0,1,0,0,0,Student ,32776,32776,37315,"$45,500-$55,999",4,Married,Doctoral degree,Some college,"Less than $12,500",Single,0,,,
454,11891002,7,31,Yes,Female,Female,0,0,1,0,0,0,Receptionist,79904,29207,29223,"$56,000-$78,000",4,Divorced and remarried (one),Bachelor's degree (4 years of college),Some college,"$22,500-$42,999",Single,0,,,
456,11891007,7,48,Yes,Female,Female,0,0,1,0,0,0,Budget Analyst,30331,30331,30331,Don't know,5,Married,Master's degree,Master's degree,"More than $80,000",Divorced,1,,,
457,11891008,11,47,Yes,Male,Male,0,0,0,0,0,1,Product Manager,4011,4011,78636,Don't know,6,Divorced,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
458,11891011,5,29,Yes,Male,Male,0,0,0,0,0,1,Physical Therapist,38821,38821,38111,"More than $78,000",4,Widowed,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Married,0,,,
459,11891018,5,28,Yes,Female,Female,0,0,0,0,0,1,1099 Contractor,48654,49841,49441,"Less than $25,000",2,__other,Some college,__other,"$22,500-$42,999",Single,2,deceased,,Currently have B.S. and obtaining dual masters in clinical mental health counseling and school counseling.
460,11891020,7,40,Yes,Male,Male,0,0,0,0,0,1,retail,44052,44052,44052,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Divorced,1,,,
461,11891024,7,40,Yes,Male,Male,0,0,0,0,0,1,Database Administrator,62501,62501,32579,"$45,500-$55,999",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
462,11891025,1,27,Yes,Female,Female,0,0,1,0,0,0,teacher's assistant,80916,80916,80916,Don't know,5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
463,11891028,7,64,Yes,Female,Female,0,0,1,0,0,0,programmer,841,841,23453,"Less than $25,000",9,Widowed,Highschool degree,Master's degree,"More than $80,000",Single,1,,,
464,11891030,2,48,Yes,Female,Female,0,0,1,0,0,0,Administratvie Assistant,71229,71229,71228,"$25,001-$40,499",4,Divorced and remarried (one),Highschool degree,Associate's degree (2 years of college),"$22,500-$42,999",Divorced,2,,,
465,11891034,0,31,Yes,Male,Male,0,0,1,0,0,0,Financial Advisor,32209,32209,32210,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
466,11891038,9,53,Yes,Male,Male,0,0,1,0,0,0,IT Systems Administrator,30296,30303,30092,"Less than $25,000",5,Divorced and remarried (one),Highschool degree,Some college,"More than $80,000",Married,0,,,
467,11891039,8,27,Yes,Male,Male,0,0,1,0,0,0,wqaiter,10005,10001,10001,"$45,500-$55,999",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
468,11891047,6,49,Yes,Female,Female,0,0,1,0,0,0,Content Writer,76301,20855,44240,"Less than $25,000",5,Never married,Some college,Associate's degree (2 years of college),"Less than $12,500",Divorced,2,,,
469,11891060,0,31,Yes,Male,Male,0,0,1,0,0,0,Procurement,30066,30066,30066,Don't know,5,Married,Master's degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
471,11891080,4,20,Yes,Female,Female,0,0,1,0,0,0,Teacher,30349,30349,29063,"$45,500-$55,999",3,Never married,Master's degree,Highschool degree,"Less than $12,500",Single,0,,,
472,11891082,1,30,Yes,Male,Male,0,0,1,0,0,0,Analyst,7461,7461,10116,"More than $78,000",6,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
473,11891086,1,21,Yes,Male,Male,0,0,1,0,0,0,Painter ,48222,48222,48222,"$56,000-$78,000",4,Married,Master's degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
474,11891094,7,28,Yes,Male,Male,0,0,1,0,0,0,Administrative officer,75270,75270,75270,"$25,001-$40,499",5,Married,Associate's degree (2 years of college),Master's degree,"$12,501-$22,499",Single,0,,,
475,11891100,6,28,Yes,Female,Female,0,0,1,0,0,0,Manufacuring,65101,65101,65101,"Less than $25,000",3,Never married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
476,11891110,8,35,Yes,Male,Male,0,0,1,0,0,0,media and entertainment ,60018,60130,60600,Don't know,2,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
477,11891115,8,24,Yes,Male,Male,0,0,1,0,0,0,Information technology,78249,78249,78109,"$45,500-$55,999",5,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
478,11891127,4,25,Yes,Female,Female,0,0,0,0,0,1,Financial Analyst ,8053,8053,30076,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,0,,,
479,11891134,0,47,Yes,Female,Female,0,0,1,0,0,0,Homemaker,90301,90047,79901,"Less than $25,000",4,Divorced and remarried (both),Master's degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,2,,,
480,11891136,1,35,Yes,Male,Male,0,0,1,0,0,0,Computer Engineer,60039,60039,60039,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,2,,,
481,11891140,5,55,Yes,Female,Female,0,0,1,0,0,0,Unemployed,64132,64134,64137,"$25,001-$40,499",5,Widowed,Some college,Some college,"$22,500-$42,999",Single,4,,,
482,11891143,5,35,Yes,Male,Male,0,0,1,0,0,0,Self-employed,11221,11221,11221,"$25,001-$40,499",5,Never married,Some college,Some college,"$22,500-$42,999",Single,0,,,
483,11891147,7,23,Yes,Male,Male,0,0,1,0,0,0,Engineer,10118,10118,10118,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
484,11891153,10,48,Yes,Female,Female,0,0,1,0,0,0,customer service representative,30310,30310,30311,"Less than $25,000",4,Married,Some college,Associate's degree (2 years of college),"$22,500-$42,999",Single,2,,,
485,11891158,0,30,Yes,Male,Male,0,0,1,0,0,0,Trained Professional.,2119,2119,2125,"$25,001-$40,499",6,Married,Some college,Master's degree,"$42,500-$80,000",Married,1,,,
487,11891173,9,61,Yes,Female,Female,0,0,1,0,0,0,Owner- Professional Consulting Services,31902,31902,38127,"Less than $25,000",3,Divorced,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Married,4,,,
488,11891181,8,25,Yes,Female,Female,0,0,1,0,0,0,Medical Doctor,14201,14201,14205,"More than $78,000",6,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
489,11891187,11,32,Yes,Male,Male,0,0,1,0,0,0,Teacher,55401,55401,75051,"$25,001-$40,499",8,Married,Master's degree,Master's degree,"$22,500-$42,999",Married,2,,,
490,11891198,3,40,Yes,Female,Female,0,0,1,1,0,0,Telecom,35803,35802,35803,"$25,001-$40,499",4,Married,Highschool degree,Highschool degree,"$42,500-$80,000",Married,2,,,
491,11891203,5,37,Yes,Female,Male,0,0,1,0,0,0,,73644,73644,73624,"$25,001-$40,499",7,Married,Some college,Some college,"$12,501-$22,499",Single,0,,,
492,11891206,11,66,Yes,Female,Female,0,0,1,0,0,0,substitute school nurse,71109,77104,76108,"Less than $25,000",4,Widowed,No highschool,Bachelor's degree (4 years of college),"$12,501-$22,499",Married,2,,,
493,11891212,2,36,Yes,Female,Female,0,0,1,0,0,0,home maker,91914,32534,30016,"$25,001-$40,499",5,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
494,11891216,2,40,Yes,Male,Male,0,0,1,0,0,0,Talent Manager,11102,11224,11208,"More than $78,000",5,Divorced and remarried (both),Associate's degree (2 years of college),Some college,"$42,500-$80,000",Single,0,,,
496,11891218,11,53,Yes,Female,Female,0,0,1,0,0,0,tutor,27834,27834,27834,Don't know,11,Divorced and remarried (one),Highschool degree,Associate's degree (2 years of college),"$22,500-$42,999",Single,1,,,
498,11891228,11,25,Yes,Male,Male,0,0,1,0,0,0,Student,19132,19132,19132,"$45,500-$55,999",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
499,11891231,10,37,Yes,Female,Female,0,0,1,0,0,0,Logistics Manager,60649,60649,60621,Don't know,3,Divorced,Master's degree,Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
501,11891245,3,28,Yes,Male,Male,0,0,1,0,0,0,Financial Manager,11235,11235,11235,"Less than $25,000",7,Divorced,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
502,11891249,8,41,Yes,Female,Female,0,0,1,0,0,0,Freelance copywriter,23605,23605,23605,"Less than $25,000",3,Never married,Bachelor's degree (4 years of college),Master's degree,"$22,500-$42,999",Single,0,,,
503,11891261,8,19,Yes,Female,Female,0,0,1,0,0,0,College work-study ,89115,89115,89115,Don't know,4,Married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
504,11891267,7,39,Yes,Male,Male,0,0,1,0,0,0,Road maintenance worker ,94501,94501,94577,"More than $78,000",4,Married,Highschool degree,Some college,"$42,500-$80,000",Single,1,,,
505,11891268,7,43,Yes,Female,Female,0,0,1,0,0,0,Data Processor,77004,77004,77077,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Some college,"Less than $12,500",Single,0,,,
506,11891269,3,42,Yes,Male,Male,0,0,1,0,0,0,care taker,21601,21601,21673,"Less than $25,000",3,Never married,Highschool degree,Some college,"$42,500-$80,000",Single,0,,,
507,11891270,3,20,Yes,Female,Female,0,0,1,0,0,0,Media intern,76018,76018,76018,"Less than $25,000",5,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"Less than $12,500",Single,0,,,
508,11891274,2,23,Yes,Male,Male,0,0,1,0,0,0,teacher,10523,10523,33179,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
509,11891279,11,36,Yes,Male,Male,0,0,1,0,0,0,unemployed,20019,20020,95355,"$45,500-$55,999",8,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,0,,,
510,11891280,9,35,Yes,Female,Female,0,0,1,0,0,0,Certified Nursing Aide,55429,55429,75935,"$25,001-$40,499",10,Married,Some highschool,Some college,"$42,500-$80,000",Married,4,,,
512,11891314,0,35,Yes,Male,Male,0,0,1,0,0,0,Construction,11201,11211,11211,"More than $78,000",4,Married,Doctoral degree,Doctoral degree,"More than $80,000",Married,2,,,
513,11891322,4,58,Yes,Male,Male,0,0,0,0,0,1,Software developer,84092,84065,84337,"Less than $25,000",6,Widowed,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
514,11891325,3,56,Yes,Female,Female,0,0,1,0,0,0,self-employed,27616,27603,27604,"$25,001-$40,499",16,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,2,,,
515,11891335,11,32,Yes,Female,Female,0,0,1,0,0,0,Tutor,11354,77031,77357,"More than $78,000",5,Married,Some college,Master's degree,"$42,500-$80,000",Single,0,,,
516,11891337,1,25,Yes,Female,Female,0,0,1,1,0,0,Coordinator for Academic Integrity,16648,16602,24060,"$25,001-$40,499",7,Married,Associate's degree (2 years of college),Master's degree,"$42,500-$80,000",Single,0,,,
517,11891341,7,48,Yes,Female,Female,0,0,1,0,0,0,elementary teacher,15235,15235,33023,"$45,500-$55,999",3,Never married,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
519,11891725,1,24,Yes,Male,Male,0,0,1,0,0,0,IT Specialist,10118,10118,10118,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
520,11891726,1,31,Yes,Male,Male,0,0,1,0,0,0,software developer,21203,21203,21206,"More than $78,000",4,Married,Doctoral degree,Master's degree,"$42,500-$80,000",Married,2,,,
521,11891727,6,55,Yes,Female,Female,0,0,1,0,0,0,Administrative Assistant Lead,75040,75214,75040,"Less than $25,000",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
523,11891730,1,20,Yes,Female,Female,0,0,1,0,0,0,Marketing and Sales,33101,33111,73301,"$25,001-$40,499",5,Married,Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Married,0,,,
524,11891731,9,22,Yes,Male,Male,0,0,1,0,0,0,Information technology,7,7,7,"More than $78,000",4,Married,Master's degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
525,11891732,3,25,Yes,Female,Female,0,0,1,0,0,0,Manufacturing,23507,23504,23462,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Highschool degree,"$22,500-$42,999",Single,0,,,
526,11891742,3,40,Yes,Male,Male,0,0,1,0,0,0,Information Technology,23701,23701,23323,"$25,001-$40,499",4,Married,Highschool degree,Highschool degree,"$22,500-$42,999",Single,0,,,
527,11891758,4,33,Yes,Male,Male,0,0,1,0,0,0,doctor,10977,10977,10977,"More than $78,000",3,Widowed,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Single,0,,,
528,11891759,8,61,Yes,Female,Female,0,0,1,0,0,0,retired clerk,48219,48219,30453,"$25,001-$40,499",2,Never married,Master's degree,Associate's degree (2 years of college),"$22,500-$42,999",Single,0,,,
529,11891762,11,71,Yes,Female,Female,0,0,1,0,0,0,"Market Research, Sole Proprietor",10103,7712,7712,"$56,000-$78,000",4,__other,Highschool degree,Some college,"$42,500-$80,000",Married,5,Married but deceased,,
530,11891770,5,38,Yes,Female,Female,0,0,1,0,0,0,homemaker/homeschool teacher,30909,30909,30909,Don't know,4,Widowed,Associate's degree (2 years of college),Master's degree,"More than $80,000",Married,2,,,
531,11891777,4,24,Yes,Female,Female,0,0,1,1,0,0,Housemaker,734,32940,32940,"More than $78,000",4,Never married,Highschool degree,Highschool degree,"More than $80,000",Single,1,,,
532,11891787,6,28,Yes,Female,Female,0,0,1,0,0,0,Budget analyst,33604,33604,92110,Don't know,5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
533,11891793,7,30,Yes,Female,Female,0,0,1,0,0,0,sales,77081,95826,77081,"More than $78,000",5,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
534,11891797,4,47,Yes,Female,Female,0,0,1,0,0,0,Editor,70501,70501,89169,Don't know,6,Married,Some college,Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
535,11891810,7,28,Yes,Male,Male,0,0,1,0,0,0,Information technology,3,5,7,"More than $78,000",5,Married,Doctoral degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
538,11891926,2,54,Yes,Female,Female,0,0,1,0,0,0,Writer,10029,10032,7631,"More than $78,000",6,Divorced,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
