,Metric,Obvserved,Null_Mean,Null_Std,Permutation p-val,itemID
437,pr_auc,0.8983185036246948,0.8340284951975816,0.0130691585920571,9.999000099990002e-05,19
447,f1_macro,0.6460972782862395,0.527115293327166,0.0192533196504303,9.999000099990002e-05,20
459,pr_auc,0.846576502447399,0.7302756708520878,0.0164208659008652,9.999000099990002e-05,20
469,f1_macro,0.5890249433106576,0.5374699706880273,0.0188999061786207,0.0047995200479952,21
481,pr_auc,0.529585158231258,0.4512802905477342,0.0209417393518963,0.0006999300069993,21
491,f1_macro,0.5950107706205268,0.5253310474129667,0.0194871123788461,0.0002999700029997,22
503,pr_auc,0.7860406946786345,0.7380890672319868,0.0159503912195485,0.0027997200279972,22
513,f1_macro,0.4734882764294529,0.4672985029003093,0.0224035526870008,0.3855614438556144,23
525,pr_auc,0.9185524291411156,0.9082571881816328,0.0097888388088963,0.1500849915008499,23
535,f1_macro,0.6180102859763488,0.5191952443143707,0.0198990950870581,9.999000099990002e-05,24
547,pr_auc,0.8195069028636863,0.7671029645549018,0.0153159837908806,0.0006999300069993,24
557,f1_macro,0.6548876456377927,0.5234041741674741,0.0196514793707355,9.999000099990002e-05,25
569,pr_auc,0.562891984455485,0.3549885874443619,0.021101338740319,9.999000099990002e-05,25
579,f1_macro,0.6367488842753757,0.5343093391380146,0.0187655092365258,9.999000099990002e-05,26
591,pr_auc,0.7791999601568645,0.6893450622256397,0.0172743928977835,9.999000099990002e-05,26
601,f1_macro,0.6626270387315336,0.5414849886480413,0.0183387652719808,9.999000099990002e-05,27
613,pr_auc,0.7308150423474884,0.6135306940793531,0.0185304641507789,9.999000099990002e-05,27
623,f1_macro,0.6553241075299898,0.5357267509727333,0.0187760559349938,9.999000099990002e-05,28
635,pr_auc,0.7659133927451772,0.6755296070552126,0.017423795824304,9.999000099990002e-05,28
645,f1_macro,0.6398389341817459,0.476720155226735,0.021879001092543,9.999000099990002e-05,29
657,pr_auc,0.9352676802786596,0.8881235004583772,0.0108003364945383,9.999000099990002e-05,29
667,f1_macro,0.4086308626555838,0.4219990431774711,0.0253384117905812,0.6956304369563043,30
679,pr_auc,0.9853341733755004,0.9859844883237932,0.0034856110275045,0.5941405859414058,30
689,f1_macro,0.4891356044096455,0.4239333466035792,0.0245213012190211,0.0065993400659934,31
701,pr_auc,0.9911232601038468,0.9815874902468256,0.0040316365701876,0.0041995800419958,31
711,f1_macro,0.411194734582916,0.4253839951638914,0.0246100530176523,0.7102289771022897,32
723,pr_auc,0.9790318640861504,0.9784919457099291,0.004414229945885,0.4706529347065293,32
733,f1_macro,0.5498687229462829,0.5155173240191412,0.0201192163233401,0.0481951804819518,33
745,pr_auc,0.7862773278971935,0.7828241375083684,0.0148783383827726,0.3991600839916008,33
755,f1_macro,0.3940630797773655,0.4243843764810464,0.0246198716384504,0.8946105389461054,34
767,pr_auc,0.9797692117450438,0.9800346118829996,0.0042791678920255,0.5435456454354565,34
777,f1_macro,0.6316110614744275,0.5394207870211735,0.0186997778873708,9.999000099990002e-05,35
789,pr_auc,0.7411650202879396,0.6374000829473554,0.0183782642104554,9.999000099990002e-05,35
799,f1_macro,0.6656979618507994,0.5417138474932128,0.0185429825359524,9.999000099990002e-05,36
811,pr_auc,0.7308266581181004,0.6035409708831178,0.0189452296855395,9.999000099990002e-05,36
821,f1_macro,0.6374346549918417,0.5295100437266369,0.0193489127708821,9.999000099990002e-05,37
833,pr_auc,0.5419927504783408,0.39050649242471,0.0208524142081217,9.999000099990002e-05,37
843,f1_macro,0.678156422899838,0.5423258914447769,0.0180893074146975,9.999000099990002e-05,38
855,pr_auc,0.7263856754653816,0.5833652677275498,0.0191440601792167,9.999000099990002e-05,38
865,f1_macro,0.6292945843394273,0.5429256276359083,0.0183358827379072,9.999000099990002e-05,39
877,pr_auc,0.6609377578107747,0.5696846894106065,0.0193672823413857,0.0001999800019998,39
