,0,1,2,3,4,5,6
85,0.82551,0.19485,0.24648,0.33267,0.04094,0.35644,0.01653
86,0.16338,0.23362,0.02165,0.15799,0.02991,0.22163,1e-05
87,0.27266,0.39454,0.05251,0.29793,0.36314,0.44476,0.43561
88,0.46799,0.46063,0.05043,0.48421,0.04886,0.04179,0.00076
89,0.56414,0.45293,0.1879,0.34352,0.0158,0.18092,0.00041
90,0.79068,0.05545,0.44846,0.29818,0.38191,0.17867,0.19356
91,0.86558,0.28695,0.22442,0.28683,0.00098,0.19516,0.00034
92,0.29133,1e-05,0.20724,0.05265,2e-05,0.04307,0.01025
93,0.99929,0.06914,0.19225,0.11912,0.05098,0.02953,8e-05
94,1.00001,0.0848,0.11707,0.05124,0.02107,0.00732,4e-05
95,2e-05,1e-05,0.20514,0.03618,0.14849,0.00874,1e-05
96,0.00102,0.00421,0.05231,0.12449,0.33769,0.01003,4e-05
97,0.99394,0.0489,0.29896,0.32033,0.19867,0.01773,0.00159
98,0.03242,0.00201,0.24635,0.13125,0.30555,0.0413,1e-05
99,0.80489,0.46433,0.34606,0.23921,0.10531,0.25017,0.0055
100,0.69856,0.00256,0.38328,0.46958,0.00051,0.05103,1e-05
101,0.68107,0.33862,0.31154,0.44223,0.00543,0.08478,0.08225
102,0.93303,0.06237,0.47489,0.40166,0.01639,0.42189,0.01376
103,0.59271,0.41444,0.03578,0.13709,0.06331,0.01424,0.4438
104,0.85607,0.04926,0.14278,0.08473,0.08337,0.39283,1e-05
105,0.99267,7e-05,0.0185,0.39056,0.19221,0.00645,0.04851
106,0.68571,0.00015,0.20479,0.03611,2e-05,0.21598,0.04546
107,0.28229,2e-05,0.43299,0.0917,0.00416,0.14365,0.02356
108,0.99295,0.25588,0.43664,0.47723,0.0051,0.16586,0.48
109,0.76471,2e-05,0.47125,0.40824,2e-05,0.08832,0.00873
110,0.07637,1e-05,0.35625,0.08461,0.03379,0.03497,0.00161
111,0.5198,1e-05,0.30093,0.22772,0.00296,0.19166,0.00053
112,0.9718,0.25882,0.17727,0.09811,0.17246,0.25919,0.29168
113,0.74635,1e-05,0.10834,0.22115,9e-05,0.14792,0.00115
114,0.24035,0.03176,0.04954,0.34895,0.01627,0.27182,0.15951
115,0.04923,1e-05,0.37885,0.00926,0.01414,0.07382,0.00085
116,0.14887,0.43252,0.17351,0.32467,0.24818,0.41636,0.19337
117,0.661,4e-05,0.35544,0.14709,0.00023,0.20002,0.07989
118,0.37214,0.03416,0.05283,0.25059,0.01805,0.14516,0.00604
119,0.39925,1e-05,0.38462,0.49558,0.00165,0.03391,0.02617
