,Metric,Obvserved,Null_Mean,Null_Std,Permutation p-val,itemID
45,precision_macro,0.5657635889321302,0.5238267398855141,0.010144571689452712,9.999000099990002e-05,2
46,precision_micro,0.7412008281573499,0.573113043478261,0.03636464908663734,9.999000099990002e-05,2
47,precision_weighted,0.8995023370396411,0.8797412063358164,0.008631449580508313,0.012398760123987601,2
48,recall_macro,0.6863713489274027,0.582318361410738,0.034485872219446094,0.001999800019998,2
49,recall_micro,0.7412008281573499,0.573113043478261,0.03636464908663734,9.999000099990002e-05,2
50,recall_weighted,0.7412008281573499,0.573113043478261,0.03636464908663734,9.999000099990002e-05,2
51,f1_macro,0.5558865717753503,0.4436536451887601,0.022972727461353537,9.999000099990002e-05,2
52,f1_micro,0.7412008281573499,0.573113043478261,0.03636464908663734,9.999000099990002e-05,2
53,f1_weighted,0.7988145553017537,0.6702129784036713,0.030197761617689778,9.999000099990002e-05,2
54,f1_class0,0.26900584795321636,0.17610313677115116,0.01973765722549565,9.999000099990002e-05,2
55,f1_class1,0.8427672955974843,0.7112041536063691,0.03174245514330535,9.999000099990002e-05,2
56,precision_class0,0.17164179104477612,0.103516990996771,0.012246800080665688,9.999000099990002e-05,2
57,precision_class1,0.9598853868194842,0.9441364887742573,0.008395436658329584,0.030396960303969604,2
58,recall_class0,0.6216216216216216,0.5931891891891892,0.06257111065327557,0.4106589341065893,2
59,recall_class1,0.7511210762331838,0.5714475336322871,0.03982021609211872,9.999000099990002e-05,2
60,balanced_accuracy,0.6863713489274027,0.582318361410738,0.034485872219446094,0.001999800019998,2
61,mcc,0.22141769377886955,0.0885695779647582,0.03738947712268431,0.0006999300069993001,2
62,roc_auc,0.7604835777481517,0.6133639346745849,0.034015222826409446,9.999000099990002e-05,2
63,pr_auc,0.9734012245211289,0.948804620973963,0.00719325109118007,0.00019998000199980003,2
64,brier,0.19683401630912617,0.23993772592971932,0.005673767746345328,1.0,2
65,log_loss,0.5876858786277095,0.6722614350742461,0.012083198091711649,1.0,2
66,accuracy,0.7080745341614907,0.5603844720496894,0.03178757930120263,9.999000099990002e-05,3
67,precision_macro,0.5751718040429209,0.5292192890173365,0.01229562908169872,0.00039996000399960006,3
68,precision_micro,0.7080745341614907,0.5603844720496894,0.03178757930120263,9.999000099990002e-05,3
69,precision_weighted,0.8359485123296282,0.8096073877871353,0.01114142729204329,0.011198880111988802,3
70,recall_macro,0.6473995271867612,0.5662337470449172,0.02762834292439098,0.0030996900309969004,3
